timestamp,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hour,dayofweek,is_weekend,month,year,lag_1,lag_3,lag_6,lag_24
2011-01-02 00:00:00,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0,0,6,1,1,2011,39.0,34.0,35.0,16.0
2011-01-02 01:00:00,26.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0,1,6,1,1,2011,17.0,28.0,37.0,40.0
2011-01-02 02:00:00,27.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0,2,6,1,1,2011,17.0,39.0,36.0,32.0
2011-01-02 03:00:00,28.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,4.0,6.0,3,6,1,1,2011,9.0,17.0,34.0,13.0
2011-01-02 04:00:00,29.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,1.0,3.0,4,6,1,1,2011,6.0,17.0,28.0,1.0
2011-01-02 05:00:00,29.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,1.0,3.0,5,6,1,1,2011,3.0,9.0,39.0,1.0
2011-01-02 06:00:00,30.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0,6,6,1,1,2011,3.0,6.0,17.0,2.0
2011-01-02 07:00:00,31.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.4,0.4091,0.76,0.194,0.0,1.0,1.0,7,6,1,1,2011,2.0,3.0,17.0,3.0
2011-01-02 08:00:00,32.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0,8,6,1,1,2011,1.0,3.0,9.0,8.0
2011-01-02 09:00:00,33.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0,9,6,1,1,2011,8.0,2.0,6.0,14.0
2011-01-02 10:00:00,34.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0,10,6,1,1,2011,20.0,1.0,3.0,36.0
2011-01-02 11:00:00,35.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0,11,6,1,1,2011,53.0,8.0,3.0,56.0
2011-01-02 12:00:00,36.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0,12,6,1,1,2011,70.0,20.0,2.0,84.0
2011-01-02 13:00:00,37.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0,13,6,1,1,2011,93.0,53.0,1.0,94.0
2011-01-02 14:00:00,38.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0,14,6,1,1,2011,75.0,70.0,8.0,106.0
2011-01-02 15:00:00,39.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0,15,6,1,1,2011,59.0,93.0,20.0,110.0
2011-01-02 16:00:00,40.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0,16,6,1,1,2011,74.0,75.0,53.0,93.0
2011-01-02 17:00:00,41.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,0.34,0.3333,0.57,0.194,7.0,58.0,65.0,17,6,1,1,2011,76.0,59.0,70.0,67.0
2011-01-02 18:00:00,42.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0,18,6,1,1,2011,65.0,74.0,93.0,35.0
2011-01-02 19:00:00,43.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,1.0,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0,19,6,1,1,2011,53.0,76.0,75.0,37.0
2011-01-02 20:00:00,44.0,1.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.3,0.2727,0.39,0.3582,5.0,17.0,22.0,20,6,1,1,2011,30.0,65.0,59.0,36.0
2011-01-02 21:00:00,45.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0,21,6,1,1,2011,22.0,53.0,74.0,34.0
2011-01-02 22:00:00,46.0,1.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0,22,6,1,1,2011,31.0,30.0,76.0,28.0
2011-01-02 23:00:00,47.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0,23,6,1,1,2011,9.0,22.0,65.0,39.0
2011-01-03 00:00:00,48.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.22,0.197,0.44,0.3582,0.0,5.0,5.0,0,0,0,1,2011,8.0,31.0,53.0,17.0
2011-01-03 01:00:00,49.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,1,0,0,1,2011,5.0,9.0,30.0,17.0
2011-01-03 02:00:00,49.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,2,0,0,1,2011,2.0,8.0,22.0,9.0
2011-01-03 03:00:00,49.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,3,0,0,1,2011,2.0,5.0,31.0,6.0
2011-01-03 04:00:00,50.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0,4,0,0,1,2011,2.0,2.0,9.0,3.0
2011-01-03 05:00:00,51.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.2836,0.0,3.0,3.0,5,0,0,1,2011,1.0,2.0,8.0,3.0
2011-01-03 06:00:00,52.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0,6,0,0,1,2011,3.0,2.0,5.0,2.0
2011-01-03 07:00:00,53.0,1.0,0.0,1.0,7.0,0.0,1.0,1.0,1.0,0.14,0.1364,0.5,0.194,1.0,63.0,64.0,7,0,0,1,2011,30.0,1.0,2.0,1.0
2011-01-03 08:00:00,54.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0,8,0,0,1,2011,64.0,3.0,2.0,8.0
2011-01-03 09:00:00,55.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0,9,0,0,1,2011,154.0,30.0,2.0,20.0
2011-01-03 10:00:00,56.0,1.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0,10,0,0,1,2011,88.0,64.0,1.0,53.0
2011-01-03 11:00:00,57.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0,11,0,0,1,2011,44.0,154.0,3.0,70.0
2011-01-03 12:00:00,58.0,1.0,0.0,1.0,12.0,0.0,1.0,1.0,1.0,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0,12,0,0,1,2011,51.0,88.0,30.0,93.0
2011-01-03 13:00:00,59.0,1.0,0.0,1.0,13.0,0.0,1.0,1.0,1.0,0.24,0.2121,0.35,0.2836,8.0,53.0,61.0,13,0,0,1,2011,61.0,44.0,64.0,75.0
2011-01-03 14:00:00,60.0,1.0,0.0,1.0,14.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0,14,0,0,1,2011,61.0,51.0,154.0,59.0
2011-01-03 15:00:00,61.0,1.0,0.0,1.0,15.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0,15,0,0,1,2011,77.0,61.0,88.0,74.0
2011-01-03 16:00:00,62.0,1.0,0.0,1.0,16.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0,16,0,0,1,2011,72.0,61.0,44.0,76.0
2011-01-03 17:00:00,63.0,1.0,0.0,1.0,17.0,0.0,1.0,1.0,1.0,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0,17,0,0,1,2011,76.0,77.0,51.0,65.0
2011-01-03 18:00:00,64.0,1.0,0.0,1.0,18.0,0.0,1.0,1.0,1.0,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0,18,0,0,1,2011,157.0,72.0,61.0,53.0
2011-01-03 19:00:00,65.0,1.0,0.0,1.0,19.0,0.0,1.0,1.0,1.0,0.2,0.2576,0.47,0.0,8.0,102.0,110.0,19,0,0,1,2011,157.0,76.0,61.0,30.0
2011-01-03 20:00:00,66.0,1.0,0.0,1.0,20.0,0.0,1.0,1.0,1.0,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0,20,0,0,1,2011,110.0,157.0,77.0,22.0
2011-01-03 21:00:00,67.0,1.0,0.0,1.0,21.0,0.0,1.0,1.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0,21,0,0,1,2011,52.0,157.0,72.0,31.0
2011-01-03 22:00:00,68.0,1.0,0.0,1.0,22.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0,22,0,0,1,2011,52.0,110.0,76.0,9.0
2011-01-03 23:00:00,69.0,1.0,0.0,1.0,23.0,0.0,1.0,1.0,1.0,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0,23,0,0,1,2011,20.0,52.0,157.0,8.0
2011-01-04 00:00:00,70.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.16,0.1818,0.55,0.1045,0.0,5.0,5.0,0,1,0,1,2011,12.0,52.0,157.0,5.0
2011-01-04 01:00:00,71.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.16,0.1818,0.59,0.1045,0.0,2.0,2.0,1,1,0,1,2011,5.0,20.0,110.0,2.0
